"","Study","Ref_index","Location","Country","Outbreak","Region","Years","Year.Mid","Decade","Age.group","Age.min","Age.max","Mean.Age","Antitoxin","Cases","Carriers","Deaths","CFR","CFR.Confid","Percent.of.Cases","Author"
"129","Chicago","225","Chicago","USA",NA,"AMR","1960-1970",1965,1960,"≥40",40,80,60.5,NA,2,5,NA,NA,NA,NA,"Nelson 1971"
"130","Graham-Smith 1901","675","Colchester","UK",NA,"EUR","1901",1901,1900,"0-14y",0,14,7.5,"YES",135,NA,16,0.12,"0.064-0.173",NA,"Graham-Smith 1901"
"131","Graham-Smith 1901","675","Colchester","UK",NA,"EUR","1901",1901,1900,"15+",15,80,48,"YES",68,NA,2,0.03,"-0.011-0.07",NA,"Graham-Smith 1901"
"132","Graham-Smith 1901","675","Colchester","UK",NA,"EUR","1901",1901,1900,"0-14y",0,14,7.5,"NO",73,NA,20,0.27,"0.172-0.376",NA,"Graham-Smith 1901"
"133","Graham-Smith 1901","675","Colchester","UK",NA,"EUR","1901",1901,1900,"15+",15,80,48,"NO",9,NA,1,0.11,"-0.094-0.316",NA,"Graham-Smith 1901"
"134","Colchester Hospital","67","Colchester Hospital","UK","Yes","EUR","1970",1970,1970,"11-14",11,14,13,NA,4,0,NA,NA,NA,NA,NA
"135","Colchester Hospital","67","Colchester Hospital","UK","Yes","EUR","1970",1970,1970,"15-19",15,19,17.5,NA,11,0,NA,NA,NA,NA,NA
"136","Colchester Hospital","67","Colchester Hospital","UK","Yes","EUR","1970",1970,1970,"20-24",20,24,22.5,NA,14,2,NA,NA,NA,NA,NA
"137","Colchester Hospital","67","Colchester Hospital","UK","Yes","EUR","1970",1970,1970,"25-29",25,29,27.5,NA,9,0,NA,NA,NA,NA,NA
"138","Colchester Hospital","67","Colchester Hospital","UK","Yes","EUR","1970",1970,1970,"30-34",30,34,32.5,NA,4,0,NA,NA,NA,NA,NA
"139","Colchester Hospital","67","Colchester Hospital","UK","Yes","EUR","1970",1970,1970,"35-39",35,39,37.5,NA,1,0,NA,NA,NA,NA,NA
"140","Colchester Hospital","67","Colchester Hospital","UK","Yes","EUR","1970",1970,1970,"40-44",40,44,42.5,NA,4,1,NA,NA,NA,NA,NA
"141","Colchester Hospital","67","Colchester Hospital","UK","Yes","EUR","1970",1970,1970,"45-49",45,49,47.5,NA,8,1,NA,NA,NA,NA,NA
"142","Colchester Hospital","67","Colchester Hospital","UK","Yes","EUR","1970",1970,1970,"50-54",50,54,52.5,NA,6,0,NA,NA,NA,NA,NA
"143","Colchester Hospital","67","Colchester Hospital","UK","Yes","EUR","1970",1970,1970,"55-59",55,59,57.5,NA,1,0,NA,NA,NA,NA,NA
"144","Colchester Hospital","67","Colchester Hospital","UK","Yes","EUR","1970",1970,1970,"60-65",60,65,63,NA,2,0,NA,NA,NA,NA,NA
"145","Ammundsen 1947","720","Coppenhagen","Denmark","Outbreak","EUR","1943-1944",1943,1940,"<1",0,0,0.5,"YES",9,NA,1,0.11,"-0.094-0.316",NA,NA
