"","Study","Ref_index","Location","Country","Outbreak","Region","Years","Year.Mid","Decade","Age.group","Age.min","Age.max","Mean.Age","Antitoxin","Cases","Carriers","Deaths","CFR","CFR.Confid","Percent.of.Cases","Author"
"655","Moscow","380","Moscow","Russia",NA,"NIS","1989",1989,1980,"30-39",30,39,35,NA,13,NA,NA,NA,NA,NA,NA
"656","Moscow","380","Moscow","Russia",NA,"NIS","1989",1989,1980,"40-49",40,49,45,NA,13,NA,NA,NA,NA,NA,NA
"657","Moscow","380","Moscow","Russia",NA,"NIS","1989",1989,1980,"≤50",50,80,65.5,NA,4,NA,NA,NA,NA,NA,NA
"658","Moscow","380","Moscow","Russia",NA,"NIS","1990",1990,1990,"0-2",0,2,1.5,NA,5,NA,NA,NA,NA,NA,NA
"659","Moscow","380","Moscow","Russia",NA,"NIS","1990",1990,1990,"3-9",3,9,6.5,NA,39,NA,NA,NA,NA,NA,NA
"660","Moscow","380","Moscow","Russia",NA,"NIS","1990",1990,1990,"10-14",10,14,12.5,NA,27,NA,NA,NA,NA,NA,NA
"661","Moscow","380","Moscow","Russia",NA,"NIS","1990",1990,1990,"15-19",15,19,17.5,NA,31,NA,NA,NA,NA,NA,NA
"662","Moscow","380","Moscow","Russia",NA,"NIS","1990",1990,1990,"20-29",20,29,25,NA,81,NA,NA,NA,NA,NA,NA
"663","Moscow","380","Moscow","Russia",NA,"NIS","1990",1990,1990,"30-39",30,39,35,NA,97,NA,NA,NA,NA,NA,NA
"664","Moscow","380","Moscow","Russia",NA,"NIS","1990",1990,1990,"40-49",40,49,45,NA,63,NA,NA,NA,NA,NA,NA
"665","Moscow","380","Moscow","Russia",NA,"NIS","1990",1990,1990,"≥50",50,80,65.5,NA,56,NA,NA,NA,NA,NA,NA
"666","Galazka & Robertson 1995","307","New Hampshire","USA",NA,"AMR","1735",1735,1730,"0-9",0,9,5,NA,404,NA,160,NA,NA,NA,"Galazka & Robertson 1995"
"667","Galazka & Robertson 1995","307","New Hampshire","USA",NA,"AMR","1735",1735,1730,"10-20",10,20,15.5,NA,310,NA,40,NA,NA,NA,"Galazka & Robertson 1995"
"668","Galazka & Robertson 1995","307","New Hampshire","USA",NA,"AMR","1735",1735,1730,">20",21,80,51,NA,546,NA,10,NA,NA,NA,"Galazka & Robertson 1995"
"669","Howard 1966","70","Oklahoma","USA",NA,"AMR","1963",1963,1960,"3",3,3,3.5,"YES",2,NA,0,0,"0-0",NA,"Howard 1966"
"670","Howard 1966","70","Oklahoma","USA",NA,"AMR","1963",1963,1960,"5",5,5,5.5,"YES",1,NA,1,1,"1-1",NA,"Howard 1966"
"671","Howard 1966","70","Oklahoma","USA",NA,"AMR","1963",1963,1960,"6",6,6,6.5,"YES",1,NA,0,0,"0-0",NA,"Howard 1966"
"672","Howard 1966","70","Oklahoma","USA",NA,"AMR","1963",1963,1960,"7",7,7,7.5,"YES",1,NA,0,0,"0-0",NA,"Howard 1966"
"673","Howard 1966","70","Oklahoma","USA",NA,"AMR","1963",1963,1960,"8",8,8,8.5,"YES",2,NA,0,0,"0-0",NA,"Howard 1966"
"674","Howard 1966","70","Oklahoma","USA",NA,"AMR","1963",1963,1960,"10",10,10,10.5,"YES",1,NA,0,0,"0-0",NA,"Howard 1966"
"675","Howard 1966","70","Oklahoma","USA",NA,"AMR","1963",1963,1960,"11",11,11,11.5,"YES",1,NA,0,0,"0-0",NA,"Howard 1966"
"676","Howard 1966","70","Oklahoma","USA",NA,"AMR","1963",1963,1960,"13",13,13,13.5,"YES",2,NA,0,0,"0-0",NA,"Howard 1966"
"677","Howard 1966","70","Oklahoma","USA",NA,"AMR","1963",1963,1960,"14",14,14,14.5,"YES",1,NA,0,0,"0-0",NA,"Howard 1966"
"678","Howard 1966","70","Oklahoma","USA",NA,"AMR","1963",1963,1960,"32",32,32,32.5,"YES",1,NA,0,0,"0-0",NA,"Howard 1966"
"679","Lyman 1956","719","Omaha & Douglas County","USA","Outbreak","AMR","1954",1954,1950,"<1",0,1,1,"YES",0,NA,NA,NA,NA,NA,NA
"680","Lyman 1956","719","Omaha & Douglas County","USA","Outbreak","AMR","1954",1954,1950,"1-4y",1,4,3,"YES",12,NA,NA,NA,NA,NA,NA
"681","Lyman 1956","719","Omaha & Douglas County","USA","Outbreak","AMR","1954",1954,1950,"5-9y",5,9,7.5,"YES",8,NA,NA,NA,NA,NA,NA
"682","Lyman 1956","719","Omaha & Douglas County","USA","Outbreak","AMR","1954",1954,1950,"10-14y",10,14,12.5,"YES",5,NA,NA,NA,NA,NA,NA
"683","Lyman 1956","719","Omaha & Douglas County","USA","Outbreak","AMR","1954",1954,1950,"15-19y",15,19,17.5,"YES",1,NA,NA,NA,NA,NA,NA
"684","Lyman 1956","719","Omaha & Douglas County","USA","Outbreak","AMR","1954",1954,1950,"20-24y",20,24,22.5,"YES",5,NA,NA,NA,NA,NA,NA
"685","Lyman 1956","719","Omaha & Douglas County","USA","Outbreak","AMR","1954",1954,1950,"25+",25,80,53,"YES",6,NA,NA,NA,NA,NA,NA
"686","Lyman 1956","719","Omaha & Douglas County","USA","Outbreak","AMR","1955",1955,1950,"<1",0,1,1,"YES",1,NA,NA,NA,NA,NA,NA
"687","Lyman 1956","719","Omaha & Douglas County","USA","Outbreak","AMR","1955",1955,1950,"1-4y",1,4,3,"YES",3,NA,NA,NA,NA,NA,NA
"688","Lyman 1956","719","Omaha & Douglas County","USA","Outbreak","AMR","1955",1955,1950,"5-9y",5,9,7.5,"YES",13,NA,NA,NA,NA,NA,NA
"689","Lyman 1956","719","Omaha & Douglas County","USA","Outbreak","AMR","1955",1955,1950,"10-14y",10,14,12.5,"YES",4,NA,NA,NA,NA,NA,NA
"690","Lyman 1956","719","Omaha & Douglas County","USA","Outbreak","AMR","1955",1955,1950,"15-19y",15,19,17.5,"YES",1,NA,NA,NA,NA,NA,NA
"691","Lyman 1956","719","Omaha & Douglas County","USA","Outbreak","AMR","1955",1955,1950,"20-24y",20,24,22.5,"YES",5,NA,NA,NA,NA,NA,NA
"692","Lyman 1956","719","Omaha & Douglas County","USA","Outbreak","AMR","1955",1955,1950,"25+",25,80,53,"YES",4,NA,NA,NA,NA,NA,NA
"693","Omaha, NE",NA,"Omaha, NE","USA",NA,"AMR","1961-1962",1962,1960,"0-4",0,4,2.5,NA,0,0,NA,NA,NA,0,NA
"694","Omaha, NE",NA,"Omaha, NE","USA",NA,"AMR","1961-1962",1962,1960,"5-9",5,9,7.5,NA,0,0,NA,NA,NA,0,NA
"695","Omaha, NE",NA,"Omaha, NE","USA",NA,"AMR","1961-1962",1962,1960,"10-14",10,14,12.5,NA,0,0,NA,NA,NA,0,NA
"696","Omaha, NE",NA,"Omaha, NE","USA",NA,"AMR","1961-1962",1962,1960,"15-19",15,19,17.5,NA,0,0,NA,NA,NA,0,NA
"697","Omaha, NE",NA,"Omaha, NE","USA",NA,"AMR","1961-1962",1962,1960,"20-24",20,24,22.5,NA,2,1,NA,NA,NA,25,NA
"698","Omaha, NE",NA,"Omaha, NE","USA",NA,"AMR","1961-1962",1962,1960,"25-29",25,29,27.5,NA,0,0,NA,NA,NA,0,NA
"699","Omaha, NE",NA,"Omaha, NE","USA",NA,"AMR","1961-1962",1962,1960,"30-34",30,34,32.5,NA,0,0,NA,NA,NA,0,NA
"700","Omaha, NE",NA,"Omaha, NE","USA",NA,"AMR","1961-1962",1962,1960,"35-39",35,39,37.5,NA,0,0,NA,NA,NA,0,NA
"701","Omaha, NE",NA,"Omaha, NE","USA",NA,"AMR","1961-1962",1962,1960,"40-44",40,44,42.5,NA,1,2,NA,NA,NA,12.5,NA
"702","Omaha, NE",NA,"Omaha, NE","USA",NA,"AMR","1961-1962",1962,1960,"45-49",45,49,47.5,NA,2,2,NA,NA,NA,25,NA
"703","Omaha, NE",NA,"Omaha, NE","USA",NA,"AMR","1961-1962",1962,1960,"50-54",50,54,52.5,NA,2,0,NA,NA,NA,25,NA
"704","Omaha, NE",NA,"Omaha, NE","USA",NA,"AMR","1961-1962",1962,1960,"55-59",55,59,57.5,NA,1,0,NA,NA,NA,12.5,NA
"705","Omaha, NE",NA,"Omaha, NE","USA",NA,"AMR","1961-1962",1962,1960,"60+",60,80,70.5,NA,0,1,NA,NA,NA,0,NA
"706","Doege 1963","12","Plainview, TX","USA",NA,"AMR","1960",1960,1960,"0-6y",0,6,3.5,NA,24,NA,1,0.04,"-0.038-0.122",NA,"Doege 1963"
"707","Doege 1963","12","Plainview, TX","USA",NA,"AMR","1960",1960,1960,"7-14y",7,14,11,NA,17,NA,0,0,"0-0",NA,"Doege 1963"
"708","Doege 1963","12","Plainview, TX","USA",NA,"AMR","1960",1960,1960,"15-29",15,29,22.5,NA,10,NA,0,0,"0-0",NA,"Doege 1963"
"709","Doege 1963","12","Plainview, TX","USA",NA,"AMR","1960",1960,1960,"30+",30,80,55.5,NA,5,NA,0,0,"0-0",NA,"Doege 1963"
"710","Shaikh 1974","607","Poona, India","India",NA,"SEAR","1950-1969",1960,1960,"0-1",0,0,0.5,NA,620,NA,NA,NA,NA,NA,"Shaikh 1974"
"711","Shaikh 1974","607","Poona, India","India",NA,"SEAR","1950-1969",1960,1960,"1-5",1,4,3,NA,2531,NA,NA,NA,NA,NA,"Shaikh 1974"
"712","Shaikh 1974","607","Poona, India","India",NA,"SEAR","1950-1969",1960,1960,"5-10",5,9,7.5,NA,1117,NA,NA,NA,NA,NA,"Shaikh 1974"
"713","Shaikh 1974","607","Poona, India","India",NA,"SEAR","1950-1969",1960,1960,"≥10",10,80,45.5,NA,279,NA,NA,NA,NA,NA,"Shaikh 1974"
"714","Khetsuriani et al.","203","Republic of Georgia","Republic of Georgia",NA,"NIS","1993–1996",1994,1990,"0-4",0,4,2.5,NA,209,NA,30,0.14,"0.096-0.191",14.9,"Khetsuriani et al."
"715","Khetsuriani et al.","203","Republic of Georgia","Republic of Georgia",NA,"NIS","1993–1996",1994,1990,"5-9",5,9,7.5,NA,233,NA,31,0.13,"0.089-0.177",16.6,"Khetsuriani et al."
"716","Khetsuriani et al.","203","Republic of Georgia","Republic of Georgia",NA,"NIS","1993–1996",1994,1990,"10-14",10,14,12.5,NA,216,NA,21,0.1,"0.058-0.137",15.4,"Khetsuriani et al."
"717","Khetsuriani et al.","203","Republic of Georgia","Republic of Georgia",NA,"NIS","1993–1996",1994,1990,"15-19",15,19,17.5,NA,170,NA,14,0.08,"0.041-0.124",12.1,"Khetsuriani et al."
"718","Khetsuriani et al.","203","Republic of Georgia","Republic of Georgia",NA,"NIS","1993–1996",1994,1990,"20-29",20,29,25,NA,247,NA,9,0.04,"0.013-0.06",17.6,"Khetsuriani et al."
"719","Khetsuriani et al.","203","Republic of Georgia","Republic of Georgia",NA,"NIS","1993–1996",1994,1990,"30-39",30,39,35,NA,165,NA,6,0.04,"0.008-0.065",11.7,"Khetsuriani et al."
"720","Khetsuriani et al.","203","Republic of Georgia","Republic of Georgia",NA,"NIS","1993–1996",1994,1990,"40-49",40,49,45,NA,101,NA,11,0.11,"0.048-0.17",7.2,"Khetsuriani et al."
"721","Khetsuriani et al.","203","Republic of Georgia","Republic of Georgia",NA,"NIS","1993–1996",1994,1990,"50-59",50,59,55,NA,53,NA,7,0.13,"0.041-0.223",3.8,"Khetsuriani et al."
"722","Khetsuriani et al.","203","Republic of Georgia","Republic of Georgia",NA,"NIS","1993–1996",1994,1990,"60-69",60,69,65,NA,10,NA,3,0.3,"0.016-0.584",0.7,"Khetsuriani et al."
"723","Khetsuriani et al.","203","Republic of Georgia","Republic of Georgia",NA,"NIS","1993–1996",1994,1990,"≥70",70,80,75.5,NA,1,NA,1,1,"1-1",0.1,"Khetsuriani et al."
"724","Quick 2000","343","Republic of Georgia","Republic of Georgia",NA,"NIS","1993–1996",1994,1990,"0-4",0,4,2.5,NA,115,NA,14,0.12,"0.062-0.182",15.8,"Quick 2000"
"725","Quick 2000","343","Republic of Georgia","Republic of Georgia",NA,"NIS","1993–1996",1994,1990,"5-9",5,9,7.5,NA,144,NA,19,0.13,"0.077-0.187",19.8,"Quick 2000"
"726","Quick 2000","343","Republic of Georgia","Republic of Georgia",NA,"NIS","1993–1996",1994,1990,"10-14",10,14,12.5,NA,130,NA,13,0.1,"0.048-0.152",17.9,"Quick 2000"
"727","Quick 2000","343","Republic of Georgia","Republic of Georgia",NA,"NIS","1993–1996",1994,1990,"15-20",15,20,18,NA,85,NA,5,0.06,"0.009-0.109",11.7,"Quick 2000"
"728","Quick 2000","343","Republic of Georgia","Republic of Georgia",NA,"NIS","1993–1996",1994,1990,"21-29",21,29,25.5,NA,94,NA,4,0.04,"0.002-0.083",12.9,"Quick 2000"
"729","Quick 2000","343","Republic of Georgia","Republic of Georgia",NA,"NIS","1993–1996",1994,1990,"30-39",30,39,35,NA,86,NA,5,0.06,"0.009-0.108",11.8,"Quick 2000"
"730","Quick 2000","343","Republic of Georgia","Republic of Georgia",NA,"NIS","1993–1996",1994,1990,"40-49",40,49,45,NA,49,NA,7,0.14,"0.045-0.241",6.7,"Quick 2000"
"731","Quick 2000","343","Republic of Georgia","Republic of Georgia",NA,"NIS","1993–1996",1994,1990,"50-59",50,59,55,NA,24,NA,1,0.04,"-0.038-0.122",3.3,"Quick 2000"
"732","Markina 2000","253","Russian Federation","Russia","Outbreak","NIS","1990-1997",1993,1990,"<1",0,0,1,"YES",431,NA,33,0.08,"0.051-0.102",NA,NA
"733","Markina 2000","253","Russian Federation","Russia","Outbreak","NIS","1990-1997",1993,1990,"1-2",1,2,2,"YES",2280,NA,156,0.07,"0.058-0.079",NA,NA
"734","Markina 2000","253","Russian Federation","Russia","Outbreak","NIS","1990-1997",1993,1990,"3-6",3,6,5,"YES",10673,NA,342,0.03,"0.029-0.035",NA,NA
"735","Markina 2000","253","Russian Federation","Russia","Outbreak","NIS","1990-1997",1993,1990,"7-14",7,14,11,"YES",18601,NA,228,0.01,"0.011-0.014",NA,NA
"736","Markina 2000","253","Russian Federation","Russia","Outbreak","NIS","1990-1997",1993,1990,"15-17",15,17,17,"YES",7057,NA,41,0.01,"0.004-0.008",NA,NA
"737","Markina 2000","253","Russian Federation","Russia","Outbreak","NIS","1990-1997",1993,1990,"18-19",18,19,19,"YES",3935,NA,25,0.01,"0.004-0.009",NA,NA
"738","Markina 2000","253","Russian Federation","Russia","Outbreak","NIS","1990-1997",1993,1990,"20-29",20,29,25,"YES",13366,NA,72,0.01,"0.004-0.007",NA,NA
"739","Markina 2000","253","Russian Federation","Russia","Outbreak","NIS","1990-1997",1993,1990,"30-39",30,39,35,"YES",16658,NA,295,0.02,"0.016-0.02",NA,NA
"740","Markina 2000","253","Russian Federation","Russia","Outbreak","NIS","1990-1997",1993,1990,"40-49",40,49,45,"YES",18136,NA,1172,0.06,"0.061-0.068",NA,NA
"741","Markina 2000","253","Russian Federation","Russia","Outbreak","NIS","1990-1997",1993,1990,"50-59",50,59,55,"YES",6577,NA,460,0.07,"0.064-0.076",NA,NA
"742","Markina 2000","253","Russian Federation","Russia","Outbreak","NIS","1990-1997",1993,1990,"≥60",60,80,71,"YES",2242,NA,143,0.06,"0.054-0.074",NA,NA
"743","Marcuse & Gilbert Grand 1973","356","San Antonio","USA",NA,"AMR","1970",1970,1970,"<1",0,0,0.5,NA,2,NA,NA,NA,NA,1,"Marcuse & Gilbert Grand 1973"
"744","Marcuse & Gilbert Grand 1973","356","San Antonio","USA",NA,"AMR","1970",1970,1970,"1-4",1,4,3,NA,32,NA,NA,NA,NA,16.3,"Marcuse & Gilbert Grand 1973"
"745","Marcuse & Gilbert Grand 1973","356","San Antonio","USA",NA,"AMR","1970",1970,1970,"5-9",5,9,7.5,NA,53,NA,NA,NA,NA,27,"Marcuse & Gilbert Grand 1973"
"746","Marcuse & Gilbert Grand 1973","356","San Antonio","USA",NA,"AMR","1970",1970,1970,"10-14",10,14,12.5,NA,55,NA,NA,NA,NA,28.1,"Marcuse & Gilbert Grand 1973"
"747","Marcuse & Gilbert Grand 1973","356","San Antonio","USA",NA,"AMR","1970",1970,1970,"15-19",15,19,17.5,NA,23,NA,NA,NA,NA,11.7,"Marcuse & Gilbert Grand 1973"
"748","Marcuse & Gilbert Grand 1973","356","San Antonio","USA",NA,"AMR","1970",1970,1970,"20-29",20,29,25,NA,18,NA,NA,NA,NA,9.2,"Marcuse & Gilbert Grand 1973"
"749","Marcuse & Gilbert Grand 1973","356","San Antonio","USA",NA,"AMR","1970",1970,1970,"30-39",30,39,35,NA,7,NA,NA,NA,NA,3.6,"Marcuse & Gilbert Grand 1973"
"750","Marcuse & Gilbert Grand 1973","356","San Antonio","USA",NA,"AMR","1970",1970,1970,"40-49",40,49,45,NA,5,NA,NA,NA,NA,2.6,"Marcuse & Gilbert Grand 1973"
"751","Marcuse & Gilbert Grand 1973","356","San Antonio","USA",NA,"AMR","1970",1970,1970,"≥50",50,80,65.5,NA,1,NA,NA,NA,NA,0.5,"Marcuse & Gilbert Grand 1973"
"752","Saraburi Province 1994","265","Saraburi Province","Thailand",NA,"SEAR","1994",1994,1990,"0-4",0,4,2.5,NA,3,NA,NA,NA,NA,NA,NA
"753","Saraburi Province 1994","265","Saraburi Province","Thailand",NA,"SEAR","1994",1994,1990,"5-14y",5,14,10,NA,12,NA,NA,NA,NA,NA,NA
"754","Saraburi Province 1994","265","Saraburi Province","Thailand",NA,"SEAR","1994",1994,1990,"≥15",15,80,48,NA,3,NA,NA,NA,NA,NA,NA
"755","Seattle","262","Seattle","USA",NA,"AMR","1972-75",1973,1970,"0-4",0,4,2.5,NA,1,4,NA,NA,NA,NA,NA
"756","Seattle","262","Seattle","USA",NA,"AMR","1972-75",1973,1970,"5-9",5,9,7.5,NA,3,6,NA,NA,NA,NA,NA
"757","Seattle","262","Seattle","USA",NA,"AMR","1972-75",1973,1970,"10-14",10,14,12.5,NA,3,5,NA,NA,NA,NA,NA
"758","Seattle","262","Seattle","USA",NA,"AMR","1972-75",1973,1970,"15-19",15,19,17.5,NA,7,4,NA,NA,NA,NA,NA
"759","Seattle","262","Seattle","USA",NA,"AMR","1972-75",1973,1970,"20-29",20,29,25,NA,14,9,NA,NA,NA,NA,NA
"760","Seattle","262","Seattle","USA",NA,"AMR","1972-75",1973,1970,"30-39",30,39,35,NA,18,17,NA,NA,NA,NA,NA
"761","Seattle","262","Seattle","USA",NA,"AMR","1972-75",1973,1970,"40-49",40,49,45,NA,14,11,NA,NA,NA,NA,NA
"762","Seattle","262","Seattle","USA",NA,"AMR","1972-75",1973,1970,"50-59",50,59,55,NA,9,4,NA,NA,NA,NA,NA
"763","Seattle","262","Seattle","USA",NA,"AMR","1972-75",1973,1970,"60-69",60,69,65,NA,6,4,NA,NA,NA,NA,NA
"764","Seattle","262","Seattle","USA",NA,"AMR","1972-75",1973,1970,"70-79",70,79,75,NA,0,1,NA,NA,NA,NA,NA
"765","Seattle","262","Seattle","USA",NA,"AMR","1972-75",1973,1970,"≥80",80,85,83,NA,2,2,NA,NA,NA,NA,NA
"766","St. Louis, MO","536","St. Louis, MO","USA",NA,"AMR","1948",1948,1940,"<0.5",0,0.499,0.7495,NA,NA,3,NA,NA,NA,NA,NA
"767","St. Louis, MO","536","St. Louis, MO","USA",NA,"AMR","1948",1948,1940,"0.5-1",0.5,0.999,1.2495,NA,NA,1,NA,NA,NA,NA,NA
"768","St. Louis, MO","536","St. Louis, MO","USA",NA,"AMR","1948",1948,1940,"1-2",1,1,1.5,NA,NA,1,NA,NA,NA,NA,NA
"769","St. Louis, MO","536","St. Louis, MO","USA",NA,"AMR","1948",1948,1940,"2-4",2,4,3.5,NA,NA,7,NA,NA,NA,NA,NA
"770","St. Louis, MO","536","St. Louis, MO","USA",NA,"AMR","1948",1948,1940,"5-9",5,9,7.5,NA,NA,24,NA,NA,NA,NA,NA
"771","St. Louis, MO","536","St. Louis, MO","USA",NA,"AMR","1948",1948,1940,"10-14",10,14,12.5,NA,NA,21,NA,NA,NA,NA,NA
"772","St. Louis, MO","536","St. Louis, MO","USA",NA,"AMR","1948",1948,1940,"15-19",15,19,17.5,NA,NA,5,NA,NA,NA,NA,NA
"773","St. Louis, MO","536","St. Louis, MO","USA",NA,"AMR","1948",1948,1940,"20-39",20,39,30,NA,NA,5,NA,NA,NA,NA,NA
"774","St. Louis, MO","536","St. Louis, MO","USA",NA,"AMR","1948",1948,1940,"40-59",40,59,50,NA,NA,3,NA,NA,NA,NA,NA
"775","St. Louis, MO","536","St. Louis, MO","USA",NA,"AMR","1948",1948,1940,"≥60",60,80,70.5,NA,NA,0,NA,NA,NA,NA,NA
"776","Loevinsohn 1990",NA,"Khartorum, Sudan","Sudan",NA,"EMR","1988",1988,1980,"0-4",0,4,2.5,NA,40,NA,NA,NA,NA,NA,"Loevinsohn 1990"
"777","Loevinsohn 1990",NA,"Khartorum, Sudan","Sudan",NA,"EMR","1988",1988,1980,"5-9",5,9,7.5,NA,109,NA,NA,NA,NA,NA,"Loevinsohn 1990"
"778","Loevinsohn 1990",NA,"Khartorum, Sudan","Sudan",NA,"EMR","1988",1988,1980,"10-14",10,14,12.5,NA,53,NA,NA,NA,NA,NA,"Loevinsohn 1990"
"779","Loevinsohn 1990",NA,"Khartorum, Sudan","Sudan",NA,"EMR","1988",1988,1980,"≥15",15,80,48,NA,7,NA,NA,NA,NA,NA,"Loevinsohn 1990"
"780","Loevinsohn 1990",NA,"Khartorum, Sudan","Sudan",NA,"EMR","1978",1978,1970,"0-4",0,4,2.5,NA,53,NA,NA,NA,NA,NA,"Loevinsohn 1990"
"781","Loevinsohn 1990",NA,"Khartorum, Sudan","Sudan",NA,"EMR","1978",1978,1970,"5-9",5,9,7.5,NA,42,NA,NA,NA,NA,NA,"Loevinsohn 1990"
"782","Loevinsohn 1990",NA,"Khartorum, Sudan","Sudan",NA,"EMR","1978",1978,1970,"10-14",10,14,12.5,NA,12,NA,NA,NA,NA,NA,"Loevinsohn 1990"
"783","Loevinsohn 1990",NA,"Khartorum, Sudan","Sudan",NA,"EMR","1978",1978,1970,"≥15",15,80,48,NA,0,NA,NA,NA,NA,NA,"Loevinsohn 1990"
"784","Thailand","243","Thailand","Thailand",NA,"SEAR","1981-1989",1985,1980,"<5",0,4,2.5,NA,3042,NA,NA,NA,NA,49,"Tharmaphornpilas et al. 2001"
"785","Thailand","243","Thailand","Thailand",NA,"SEAR","1981-1989",1985,1980,"5-9",5,9,7.5,NA,2178,NA,NA,NA,NA,35.1,"Tharmaphornpilas et al. 2001"
"786","Thailand","243","Thailand","Thailand",NA,"SEAR","1981-1989",1985,1980,"10-14",10,14,12.5,NA,854,NA,NA,NA,NA,13.7,"Tharmaphornpilas et al. 2001"
"787","Thailand","243","Thailand","Thailand",NA,"SEAR","1981-1989",1985,1980,"≥15",15,80,48,NA,134,NA,NA,NA,NA,2.2,"Tharmaphornpilas et al. 2001"
"788","Thailand","243","Thailand","Thailand",NA,"SEAR","1990-1999",1995,1990,"<5",0,4,2.5,NA,161,NA,NA,NA,NA,37.9,"Tharmaphornpilas et al. 2001"
"789","Thailand","243","Thailand","Thailand",NA,"SEAR","1990-1999",1995,1990,"5-9",5,9,7.5,NA,163,NA,NA,NA,NA,38.4,"Tharmaphornpilas et al. 2001"
"790","Thailand","243","Thailand","Thailand",NA,"SEAR","1990-1999",1995,1990,"10-14",10,14,12.5,NA,64,NA,NA,NA,NA,15.1,"Tharmaphornpilas et al. 2001"
"791","Thailand","243","Thailand","Thailand",NA,"SEAR","1990-1999",1995,1990,"≥15",15,80,48,NA,28,NA,NA,NA,NA,6.6,"Tharmaphornpilas et al. 2001"
"792","Topeka, KS","81","Topeka, KS","USA",NA,"AMR","1922",1922,1920,"0-4",0,4,2.5,NA,106,8,NA,NA,NA,NA,NA
"793","Topeka, KS","81","Topeka, KS","USA",NA,"AMR","1922",1922,1920,"5-9",5,9,7.5,NA,301,4,NA,NA,NA,NA,NA
"794","Topeka, KS","81","Topeka, KS","USA",NA,"AMR","1922",1922,1920,"10-14",10,14,12.5,NA,154,0,NA,NA,NA,NA,NA
"795","Topeka, KS","81","Topeka, KS","USA",NA,"AMR","1922",1922,1920,"15-19",15,19,17.5,NA,59,1,NA,NA,NA,NA,NA
"796","Topeka, KS","81","Topeka, KS","USA",NA,"AMR","1922",1922,1920,"≥20",20,80,50.5,NA,168,1,NA,NA,NA,NA,NA
"797","Trinadad","342","Trinadad","Trinadad",NA,"AMR","1965",1965,1960,"<5",0,5,3,NA,2.8,NA,NA,NA,NA,NA,NA
"798","Trinadad","342","Trinadad","Trinadad",NA,"AMR","1965",1965,1960,"6-10",6,10,8.5,NA,3,NA,NA,NA,NA,NA,NA
"799","Trinadad","342","Trinadad","Trinadad",NA,"AMR","1965",1965,1960,"11-16",11,15,13.5,NA,0,NA,NA,NA,NA,NA,NA
"800","Trinadad","342","Trinadad","Trinadad",NA,"AMR","1965",1965,1960,"≥16",16,80,48.5,NA,0,NA,NA,NA,NA,NA,NA
"801","TURNBULL 1949","223","Tsolo, South Africa","South Africa","Outbreak","AFR","1948",1948,1940,"0-1",0,0,0.5,"YES",1,NA,NA,NA,NA,NA,NA
"802","TURNBULL 1949","223","Tsolo, South Africa","South Africa","Outbreak","AFR","1948",1948,1940,"1-5",1,4,3,"YES",16,NA,NA,NA,NA,NA,NA
"803","TURNBULL 1949","223","Tsolo, South Africa","South Africa","Outbreak","AFR","1948",1948,1940,"5-10",5,9,7.5,"YES",20,NA,NA,NA,NA,NA,NA
"804","TURNBULL 1949","223","Tsolo, South Africa","South Africa","Outbreak","AFR","1948",1948,1940,"10-15",10,14,12.5,"YES",17,NA,NA,NA,NA,NA,NA
"805","TURNBULL 1949","223","Tsolo, South Africa","South Africa","Outbreak","AFR","1948",1948,1940,"15-20",15,19,17.5,"YES",10,NA,NA,NA,NA,NA,NA
"806","TURNBULL 1949","223","Tsolo, South Africa","South Africa","Outbreak","AFR","1948",1948,1940,"20-30",20,29,25,"YES",6,NA,NA,NA,NA,NA,NA
