"Ref_index","Study","Location","Year.Mid","Age.min","Age.max","n.Suscept","n.Basic","n.Full","n.NotFull","N.age","N","prct.Full1","prct.Suscept","prct.Basic","prct.Full"
418,NA,"Syria",2016,26,35,NA,NA,NA,NA,123,NA,79.7,NA,NA,0.797
418,NA,"Syria",2016,36,45,NA,NA,NA,NA,83,NA,80,NA,NA,0.8
418,NA,"Iran",2016,18,25,NA,NA,NA,NA,33,NA,85,NA,NA,0.85
418,NA,"Iran",2016,26,35,NA,NA,NA,NA,53,NA,94,NA,NA,0.94
418,NA,"Iran",2016,36,45,NA,NA,NA,NA,23,NA,78,NA,NA,0.78
418,NA,"Iraq",2016,18,25,NA,NA,NA,NA,25,NA,80,NA,NA,0.8
418,NA,"Iraq",2016,26,35,NA,NA,NA,NA,44,NA,75,NA,NA,0.75
418,NA,"Iraq",2016,36,45,NA,NA,NA,NA,14,NA,93,NA,NA,0.93
418,NA,"Afghanistan",2016,18,25,NA,NA,NA,NA,36,NA,72,NA,NA,0.72
418,NA,"Afghanistan",2016,26,35,NA,NA,NA,NA,28,NA,57,NA,NA,0.57
418,NA,"Afghanistan",2016,36,45,NA,NA,NA,NA,11,NA,64,NA,NA,0.64
418,NA,"Eritrea",2016,18,25,NA,NA,NA,NA,17,NA,88,NA,NA,0.88
418,NA,"Eritrea",2016,26,35,NA,NA,NA,NA,23,NA,78,NA,NA,0.78
418,NA,"Eritrea",2016,36,45,NA,NA,NA,NA,14,NA,100,NA,NA,1
420,NA,"Norway",1995,1,1,40,8,0,48,48,NA,NA,0.833333333333333,0.166666666666667,0
420,NA,"Norway",1995,2,2,30,4,2,34,36,NA,NA,0.833333333333333,0.111111111111111,0.0555555555555556
420,NA,"Norway",1995,3,3,19,10,1,29,30,NA,NA,0.633333333333333,0.333333333333333,0.0333333333333333
420,NA,"Norway",1995,4,4,12,10,2,25,27,NA,NA,0.444444444444444,0.37037037037037,0.0740740740740741
420,NA,"Norway",1995,5,5,20,6,0,26,26,NA,NA,0.769230769230769,0.230769230769231,0
420,NA,"Norway",1995,6,6,24,12,0,36,36,NA,NA,0.666666666666667,0.333333333333333,0
420,NA,"Norway",1995,7,7,17,12,3,29,32,NA,NA,0.53125,0.375,0.09375
420,NA,"Norway",1995,8,8,13,15,3,28,31,NA,NA,0.419354838709677,0.483870967741935,0.0967741935483871
420,NA,"Norway",1995,9,9,19,20,1,39,40,NA,NA,0.475,0.5,0.025
420,NA,"Norway",1995,10,10,11,14,5,25,30,NA,NA,0.366666666666667,0.466666666666667,0.166666666666667
420,NA,"Norway",1995,11,11,24,8,3,32,35,NA,NA,0.685714285714286,0.228571428571429,0.0857142857142857
420,NA,"Norway",1995,12,12,26,2,1,28,29,NA,NA,0.896551724137931,0.0689655172413793,0.0344827586206897
420,NA,"Russia",1995,1,1,9,5,1,14,15,NA,NA,0.6,0.333333333333333,0.0666666666666667
420,NA,"Russia",1995,2,2,16,3,1,19,20,NA,NA,0.8,0.15,0.05
420,NA,"Russia",1995,3,3,18,4,0,22,22,NA,NA,0.818181818181818,0.181818181818182,0
420,NA,"Russia",1995,4,4,26,2,0,28,28,NA,NA,0.928571428571429,0.0714285714285714,0
420,NA,"Russia",1995,5,5,23,6,0,29,29,NA,NA,0.793103448275862,0.206896551724138,0
420,NA,"Russia",1995,6,6,29,1,0,30,30,NA,NA,0.966666666666667,0.0333333333333333,0
420,NA,"Russia",1995,7,7,35,0,0,35,35,NA,NA,1,0,0
